"TAIL_NUMBER","NUMBER_OF_SEATS","MANUFACTURER","MODEL",
"B708RE",9,"Pilatus","PC-12/47COMBI",
"CFEXB",0,"CESSNA","C-208B/3",
"CFEXF",0,"CESSNA","C-208B/3",
"CFEXH",0,"CESSNA","C-208B",
"CFEXI",0,"CESSNA","C-208B",
"CFEXN",0,"CESSNA","C-208B",
"CFEXO",0,"CESSNA","C-208B/3",
"CFEXW",0,"CESSNA","C-208B/3",
"CFEXX",0,"CESSNA","C-208B",
"CFMAI",0,"BOEING","757-200",
"CFMEK",0,"BOEING","757-200",
"CFMEP",0,"BOEING","757-200",
"CFMEQ",0,"BOEING","757-200",
"CFMEU",0,"BOEING","757-200",
"CFMFG",0,"BOEING","757-200",
"CFMHA",0,"BOEING","757-200",
"CFMOC",0,"BOEING","757-200",
"CFTAR",0,"ATR","ATR72",
"E981EV",50,"BOMBARDIER","CRJ-200-PSGR",
"ECKAI",0,"ATR","ATR42-300",
"EIFXA",0,"ATR","ATR42-300",
"EIFXB",0,"ATR","ATR42-300",
"EIFXC",0,"ATR","ATR42-300",
"EIFXD",0,"ATR","ATR42-300",
"EIFXE",0,"ATR","ATR42-300",
"EIFXG",0,"ATR","ATR72",
"EIFXH",0,"ATR","ATR72",
"EIFXI",0,"ATR","ATR72",
"EIFXJ",0,"ATR","ATR72",
"EIFXK",0,"ATR","ATR72",
"N10060",0,"MCDONNELLDOUGLAS","DC-10-10",
"N100CE",0,"Douglas","C-118ACARGO",
"N1013A",269,"BOEING","B767-300ER",
"N101DU",109,"AirbusIndustries","A220-100-PSGR",
"N101FE",0,"BOEING","767-3S2F",
"N101HQ",76,"Embraer","ERJ-170-200LR",
"N101NN",102,"Airbus","A321-231",
"N102DU",109,"AirbusIndustries","A220-100-PSGR",
"N102FE",0,"BOEING","767-3S2F",
"N102HQ",76,"Embraer","ERJ-170-200LR",
"N102NN",102,"Airbus","A321-231",
"N102UW",150,"Airbus","A320-214",
"N103DU",109,"AirbusIndustries","A220-100-PSGR",
"N103FE",0,"BOEING","767-3S2F",
"N103HQ",76,"Embraer","ERJ-170-200LR",
"N103NN",102,"Airbus","A321-231",
"N103SY",76,"Embraer","ERJ175",
"N103US",150,"Airbus","A320-214",
"N1049A",269,"BOEING","B767-300ER",
"N1049A",0,"BOEING","767-300",
"N104DU",109,"AirbusIndustries","A220-100-PSGR",
