STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/1/2019,4.7,,0.14,0,0,64,66,57,310,310,15,19,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/2/2019,4.92,,0.57,0,0,56,59,49,70,50,12.1,15,1,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/3/2019,5.37,,0.15,0,0,52,55,51,340,330,15,18.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/4/2019,12.08,,1.44,0,0,56,66,45,260,260,28,34,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/5/2019,13.42,,0,0,0,49,59,44,280,330,23.9,33.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/6/2019,6.49,,0,0,0,53,69,43,320,320,13,15,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/7/2019,5.14,,0,0,0,55,69,45,160,160,15,19,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/8/2019,8.05,,0,0,0,57,65,50,290,260,16.1,21.9,,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/9/2019,17.45,,0,0,0,50,56,39,320,320,28,34,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/10/2019,13.2,,0,0,0,38,45,30,330,320,23.9,33.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/11/2019,6.93,,0,0,0,40,54,30,120,110,12.1,15,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/12/2019,12.97,,0.35,0,0,43,44,37,80,90,19.9,25.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/13/2019,8.05,,0.27,0,0,39,48,35,70,80,17,19.9,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/14/2019,11.63,,0,0,0,45,47,39,330,330,17,23,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/15/2019,10.74,,0,0,0,40,46,32,320,310,17,25.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/16/2019,7.61,,0,0,0,38,53,30,320,330,13,16.1,1,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/17/2019,4.03,,0.1,0,0,42,50,35,180,180,8.9,13,1,,1,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/18/2019,2.91,,0,0,0,50,58,47,220,220,8.1,10.1,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/19/2019,9.62,,1.22,0,0,55,63,51,180,170,19.9,28,1,1,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/20/2019,20.36,,0,0,0,42,53,29,310,310,30,42.9,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/21/2019,8.5,,0,0,0,31,44,22,340,320,21.9,28,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/22/2019,12.3,,0,0,0,37,45,30,80,90,19.9,23.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/23/2019,12.08,,1.71,0,0,50,67,42,290,160,25.1,36,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/24/2019,13.42,,0.11,0,0,48,54,34,310,310,33.1,40,1,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/25/2019,10.07,,0,0,0,38,48,32,320,320,18.1,28,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/26/2019,5.82,,0,0,0,38,52,28,330,340,17,21.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/27/2019,2.01,,0,0,0,42,51,33,320,300,8.9,11,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/28/2019,6.26,,0,0,0,45,59,34,220,230,19.9,25.9,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/29/2019,12.53,,0.17,0,0,45,51,28,320,320,23.9,28,1,,,,,,,1,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/30/2019,9.62,,0,0,0,32,44,24,290,300,23.9,31.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",1/31/2019,2.91,,0,0,0,37,53,27,280,300,8.9,13,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/1/2019,2.91,,0,0,0,46,62,34,340,340,8.9,11,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/2/2019,4.47,,0,0,0,52,66,40,150,130,8.9,12.1,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/3/2019,4.47,,0.04,0,0,58,65,50,90,80,12.1,17,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/4/2019,3.8,,0,0,0,55,67,44,180,200,8.9,11,,,,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2/5/2019,4.47,,0,0,0,62,74,55,200,200,13,15,1,,,,,,,,
