STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/1/2019,5.14,,0,0,0,4,12,-5,170,210,,12.1,15,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/2/2019,8.95,,0,0,0,15,38,2,210,210,,17,21,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/3/2019,9.62,,0,0,0,32,56,16,210,210,,17,21.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/4/2019,9.4,,0,0,0,42,62,30,210,220,,16.1,19.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/5/2019,7.61,,0,0,0,44,60,33,220,220,,17,23,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/6/2019,9.4,,0,0,0,42,58,30,280,270,,23.9,33.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/7/2019,14.99,,0,0,0,40,52,16,290,290,,40,53.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/8/2019,10.96,,0,0,0,35,50,22,140,140,,23,29.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/9/2019,4.92,,0,0,0,33,50,23,230,230,,12.1,13,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/10/2019,8.05,,0,0,0,41,61,28,210,210,,16.1,21.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/11/2019,11.41,,0.45,1,0,38,44,32,360,10,,19.9,25.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/12/2019,6.71,,0.03,0.3,1.2,32,35,17,350,350,,17,21.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/13/2019,7.61,,0,0,0,25,35,17,180,170,,14.1,15,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/14/2019,11.63,,0,0,0,28,43,20,220,220,,17,21.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/15/2019,10.96,,0,0,0,32,46,21,210,220,,17,25.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/16/2019,7.61,,0,0,0,35,46,29,220,220,,16.1,19,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/17/2019,10.96,,0,0,0,40,54,32,190,190,,21.9,28,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/18/2019,10.51,,0.08,0.3,0,37,41,23,350,360,,32,42.9,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/19/2019,8.5,,0,0,0,32,48,22,210,210,,15,18.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/20/2019,11.18,,0,0,0,41,55,33,50,50,,21,25.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/21/2019,11.18,,0,0.2,0,39,58,22,10,20,,38,53.9,1,,,,,,,,1,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/22/2019,19.01,,0.01,1.1,0,27,30,13,350,350,,38,53.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/23/2019,10.51,,0,0,0,26,41,16,80,270,,18.1,23.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/24/2019,10.07,,0.11,1,0,25,29,12,20,10,,23.9,31.1,1,1,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/25/2019,9.4,,0,0,1.2,19,32,8,170,120,,15,19,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/26/2019,9.4,,0,0,0,28,42,19,210,210,,18.1,21.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/27/2019,13.87,,0,0,0,37,50,28,50,270,,25.9,35.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/28/2019,12.97,,0.07,2.3,1.2,31,31,7,20,40,,31.1,38.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/29/2019,7.38,,0,0,1.2,15,27,7,220,220,,16.1,19.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/30/2019,9.4,,0,0,0,24,48,9,300,300,,16.1,25.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",1/31/2019,9.62,,0,0,0,35,48,21,130,160,,18.1,23,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/1/2019,10.07,,0,0,0,38,54,28,150,230,,15,19,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/2/2019,9.62,,0,0,0,42,60,34,220,210,,17,21.9,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/3/2019,12.3,,0,0,0,47,65,37,300,310,,31.1,42.1,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/4/2019,11.86,,0,0,0,43,57,21,160,150,,31.1,40,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/5/2019,5.82,,0,0,0,28,49,18,100,100,,17,19.9,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/6/2019,10.74,,0.14,3.1,0,21,24,-3,60,60,,18.1,23,1,1,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/7/2019,7.83,,0,0,2,3,15,-11,180,180,,18.1,21.9,1,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/8/2019,5.14,,0,0,1.2,8,26,-7,160,170,,13,14.1,,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/9/2019,10.29,,0,0,1.2,23,48,11,200,200,,23,28,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/10/2019,7.38,,0,0,0,24,47,18,140,140,,28,35.1,1,,,,,,,1,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/11/2019,8.5,,0,0,0,20,34,11,260,260,,21.9,30,1,1,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/12/2019,8.05,,0,0,0,33,49,22,200,200,,19.9,23,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/13/2019,10.51,,0,0,0,41,60,26,230,240,,32,40,,,,,,,,,,
USW00003017,"DENVER INTERNATIONAL AIRPORT, CO US",2/14/2019,10.51,,0,0,0,44,58,28,60,70,,35.1,42.9,,,,,,,,,,
