STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10
USW00014732,"LAGUARDIA AIRPORT, NY US",1/1/2019,17,,0.08,,0,0,51,60,40,300,300,36,45,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/2/2019,8.5,,0,,0,0,39,41,35,310,310,19.9,23,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/3/2019,10.51,,0,,0,0,41,45,39,330,330,23.9,29.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/4/2019,9.84,,0,,0,0,41,47,37,220,230,18.1,25.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/5/2019,13.65,,0.45,,0,0,44,47,42,290,290,23.9,30,1,1,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/6/2019,17.22,,0,,0,0,45,49,32,330,310,36,45,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/7/2019,9.84,,0,,0,0,31,35,26,330,320,23,29.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/8/2019,5.59,,0.21,,0,0,40,47,35,160,150,13,16.1,1,1,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/9/2019,20.8,,0.07,,0,0,44,46,35,300,310,33.1,42.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/10/2019,22.82,,0,,0,0,35,35,30,320,300,36,51,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/11/2019,19.01,,0,,0,0,28,32,22,320,320,31.1,40,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/12/2019,8.05,,0,,0,0,26,34,21,300,330,17,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/13/2019,11.41,,0,,0,0,30,33,25,60,50,23,31.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/14/2019,10.96,,0,,0,0,28,35,22,20,360,19.9,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/15/2019,6.93,,0,,0,0,30,36,26,350,340,14.1,18.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/16/2019,12.08,,0,,0,0,34,40,31,330,280,21,30,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/17/2019,9.17,,0,,0,0,31,34,26,320,340,19.9,25.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/18/2019,7.61,,0.03,,0.4,0,33,42,29,310,270,14.1,18.1,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/19/2019,9.4,,0.34,,0,0,36,39,32,70,80,16.1,19,1,,,1,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/20/2019,20.36,,1,,0,0,35,40,16,310,310,38,50.1,1,,,1,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/21/2019,26.62,,0,,0,0,13,16,5,310,280,38,50.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/22/2019,10.74,,0,,0,0,19,31,14,310,300,25.9,34,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/23/2019,8.95,,0,,0,0,34,47,30,210,220,16.1,21,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/24/2019,16.78,,1.48,,0,0,50,57,35,290,280,30,40.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/25/2019,15.21,,0,,0,0,37,40,29,260,270,30,38,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/26/2019,9.4,,0,,0,0,30,35,25,270,270,18.1,25.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/27/2019,11.18,,0,,0,0,38,49,29,180,180,25.9,35.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/28/2019,9.17,,0,,0,0,33,39,25,340,330,19.9,23.9,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/29/2019,10.29,,0.27,,0,0,32,44,25,270,160,19.9,25.9,1,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/30/2019,19.69,,0,,0.2,0,30,36,7,290,290,38.9,53.9,1,,,,,,,1,1,
USW00014732,"LAGUARDIA AIRPORT, NY US",1/31/2019,14.54,,0,,0,0,9,17,3,270,290,23.9,32,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/1/2019,9.4,,0,,0,0,16,22,12,290,280,19.9,28,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/2/2019,10.29,,0,,0,0,24,35,18,240,240,21,29.1,,,,,,,,,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/3/2019,5.37,,0,,0,0,39,52,31,170,250,15,18.1,,,,,,,,1,,
USW00014732,"LAGUARDIA AIRPORT, NY US",2/4/2019,5.14,,0,,0,0,46,59,36,160,170,14.1,17,,,,,,,,,,
