STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10
USW00014739,"BOSTON, MA US",1/1/2019,15.88,,0.38,,0,,47,59,34,,290,290,,35.1,47,1,,,,,,,,
USW00014739,"BOSTON, MA US",1/2/2019,9.4,,0,,0,,33,37,28,,310,330,,18.1,23,,,,,,,,,
USW00014739,"BOSTON, MA US",1/3/2019,10.51,,0.02,,0,,38,46,32,,320,320,,19.9,27.1,,,,,,,,,
USW00014739,"BOSTON, MA US",1/4/2019,11.18,,0,,0,,40,48,34,,230,220,,23.9,30,,,,,,,,,
USW00014739,"BOSTON, MA US",1/5/2019,9.17,,0.53,,0,,41,43,38,,360,360,,18.1,21.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",1/6/2019,14.32,,0,,0,,40,47,25,,310,310,,30,40.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/7/2019,11.63,,0,,0,,26,31,19,,320,310,,29.1,38.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/8/2019,7.61,,0.02,,0,,34,43,30,,160,160,,17,21,1,1,,,,,1,,
USW00014739,"BOSTON, MA US",1/9/2019,15.66,,0.13,,0,,40,46,35,,270,270,,29.1,40,1,,,,,,,,
USW00014739,"BOSTON, MA US",1/10/2019,16.11,,0,,0,,36,37,26,,290,330,,25.1,35.1,,,,,,,,,
USW00014739,"BOSTON, MA US",1/11/2019,18.12,,0,,0,,27,30,17,,320,310,,28,35.1,,,,,,,,,
USW00014739,"BOSTON, MA US",1/12/2019,14.76,,0,,0,,20,29,15,,290,290,,23.9,32,,,,,,,,,
USW00014739,"BOSTON, MA US",1/13/2019,8.28,,0,,0,,22,29,16,,320,310,,16.1,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/14/2019,8.72,,0,,0,,26,31,23,,360,360,,16.1,19,,,,,,,,,
USW00014739,"BOSTON, MA US",1/15/2019,7.38,,0,,0,,30,39,24,,320,320,,15,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/16/2019,11.63,,0,,0,,32,41,25,,240,290,,19.9,29.1,,,,,,,,,
USW00014739,"BOSTON, MA US",1/17/2019,9.62,,0,,0,,27,33,18,,330,330,,19.9,25.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/18/2019,6.71,,0,,0,,32,43,27,,240,230,,15,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/19/2019,12.08,,0.13,,0.5,,33,37,28,,80,80,,25.1,30,1,,,,,1,,,
USW00014739,"BOSTON, MA US",1/20/2019,17.9,,1.2,,1.1,,30,37,10,,70,300,,32,40.9,1,,,1,,1,1,,
USW00014739,"BOSTON, MA US",1/21/2019,20.13,,0,,0,,9,10,5,,290,320,,29.1,40.9,,,,,,,1,1,
USW00014739,"BOSTON, MA US",1/22/2019,14.09,,0,,0,,14,28,7,,290,290,,25.9,36.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/23/2019,13.65,,0,,0,,29,48,20,,220,230,,23.9,30,,,,,,,,,
USW00014739,"BOSTON, MA US",1/24/2019,23.71,,1,,0,,52,59,37,,180,190,,38.9,53,1,,,,,,1,,
USW00014739,"BOSTON, MA US",1/25/2019,13.65,,0,,0,,39,42,29,,280,270,,25.1,32,,,,,,,,,
USW00014739,"BOSTON, MA US",1/26/2019,8.5,,0,,0,,30,36,25,,220,230,,17,21,,,,,,,,,
USW00014739,"BOSTON, MA US",1/27/2019,13.2,,0,,0,,35,47,27,,190,190,,25.9,33.1,,,,,,,,,
USW00014739,"BOSTON, MA US",1/28/2019,10.07,,0,,0,,34,42,24,,320,320,,18.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",1/29/2019,12.53,,0.05,,0,,28,38,20,,120,120,,19.9,23,1,,,1,,,,,
USW00014739,"BOSTON, MA US",1/30/2019,15.88,,0.16,,0.5,,33,39,9,,270,270,,33.1,44.1,1,1,,,,,,1,
USW00014739,"BOSTON, MA US",1/31/2019,17.22,,0,,0,,12,18,5,,260,280,,25.1,36,,,,,,,,,
USW00014739,"BOSTON, MA US",2/1/2019,13.2,,0,,0,,16,23,10,,260,250,,21.9,29.1,,,,,,,,,
USW00014739,"BOSTON, MA US",2/2/2019,12.75,,0,,0,,22,35,14,,220,250,,25.1,32,,,,,,,,,
USW00014739,"BOSTON, MA US",2/3/2019,6.26,,0,,0,,34,39,27,,200,210,,14.1,18.1,1,,,,,,1,,
USW00014739,"BOSTON, MA US",2/4/2019,9.4,,0,,0,,45,63,35,,220,210,,16.1,21.9,1,,,,,,1,,
USW00014739,"BOSTON, MA US",2/5/2019,12.08,,0,,0,,51,65,40,,290,280,,19.9,28,,,,,,,,,
USW00014739,"BOSTON, MA US",2/6/2019,10.07,,0.37,,0,,40,44,33,,320,330,,16.1,21,1,,,,,,,,
USW00014739,"BOSTON, MA US",2/7/2019,9.62,,0.21,,0,,38,42,35,,50,40,,18.1,23,1,,,,,,1,,
USW00014739,"BOSTON, MA US",2/8/2019,13.2,,0.07,,0,,43,57,31,,280,270,,33.1,44.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",2/9/2019,19.69,,0,,0,,31,36,25,,300,280,,31.1,42.9,,,,,,,,,
USW00014739,"BOSTON, MA US",2/10/2019,12.3,,0,,0,,30,37,24,,270,270,,19.9,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",2/11/2019,10.51,,0,,0,,32,37,26,,330,330,,18.1,23.9,,,,,,,,,
USW00014739,"BOSTON, MA US",2/12/2019,14.09,,0.91,,2.4,,26,38,19,,90,90,,25.1,32,1,1,,1,,1,,,
USW00014739,"BOSTON, MA US",2/13/2019,13.42,,0.28,,0.1,,38,43,33,,290,290,,25.1,32,1,,,,1,,,,
USW00014739,"BOSTON, MA US",2/14/2019,13.65,,0,,0,,35,40,31,,290,300,,29.1,38.9,,,,,,,,,
USW00014739,"BOSTON, MA US",2/15/2019,11.41,,0.1,,0,,40,52,31,,210,220,,23.9,31.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",2/16/2019,12.08,,0,,0,,43,49,31,,310,300,,18.1,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",2/17/2019,9.62,,0,,0,,30,34,24,,320,320,,21.9,27.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",2/18/2019,10.29,,0.31,,3.6,,30,32,21,,320,330,,25.9,33.1,1,,,,,,1,,
USW00014739,"BOSTON, MA US",2/19/2019,13.42,,0,,0,,25,34,18,,290,280,,23,30,,,,,,,,,
USW00014739,"BOSTON, MA US",2/20/2019,8.05,,0.1,,0.8,,26,31,21,,290,250,,15,19.9,1,,,,,,,,
USW00014739,"BOSTON, MA US",2/21/2019,10.29,,0.42,,1.3,,34,48,26,,280,280,,23.9,29.1,1,,,1,,1,1,,
USW00014739,"BOSTON, MA US",2/22/2019,8.95,,0,,0,,42,46,36,,350,340,,16.1,23,,,,,,,,,
USW00014739,"BOSTON, MA US",2/23/2019,6.49,,0,,0,,35,38,30,,320,110,,12.1,15,,,,,,,,,
USW00014739,"BOSTON, MA US",2/24/2019,13.87,,0.48,,0,,39,47,34,,290,290,,25.9,38.9,1,1,,,,,,,
USW00014739,"BOSTON, MA US",2/25/2019,23.04,,0,,0,,39,42,30,,270,260,,42.9,55,,,,,,,1,,
USW00014739,"BOSTON, MA US",2/26/2019,20.13,,0,,0,,29,32,20,,290,290,,32,45,,,,,,,,,
USW00014739,"BOSTON, MA US",2/27/2019,9.62,,0.05,,1.2,,20,26,13,,310,280,,21.9,28,,,,,,,1,,
USW00014739,"BOSTON, MA US",2/28/2019,8.5,,0.15,,2.2,,24,31,19,,320,320,,14.1,19,1,,,,,,,,
USW00014739,"BOSTON, MA US",3/1/2019,6.71,,0,,0,,29,38,23,,120,130,,17,19.9,,,,,,,,,
USW00014739,"BOSTON, MA US",3/2/2019,10.07,,0.18,,2,,33,34,32,,10,10,,21,25.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",3/3/2019,8.5,,0.09,,0.7,,35,41,32,,110,120,,16.1,18.1,1,,,,,,,,
USW00014739,"BOSTON, MA US",3/4/2019,13.2,,0.97,,9.9,,36,40,25,,270,290,,23.9,31.1,1,1,,,,,1,,
USW00014739,"BOSTON, MA US",3/5/2019,10.51,,0,,0,,26,31,19,,290,290,,21,25.9,,,,,,,1,,
USW00014739,"BOSTON, MA US",3/6/2019,16.11,,0,,0,,24,27,18,,310,300,,28,36.9,,,,,,,,,
USW00014739,"BOSTON, MA US",3/7/2019,13.87,,0,,0,,21,30,15,,270,230,,21.9,31.1,,,,,,,,,
USW00014739,"BOSTON, MA US",3/8/2019,10.96,,0,,0,,27,38,18,,240,260,,17,25.1,,,,,,,,,
USW00014739,"BOSTON, MA US",3/9/2019,6.93,,0,,0,,34,46,26,,90,290,,15,18.1,,,,,,,,,
USW00014739,"BOSTON, MA US",3/10/2019,12.75,,0.46,,0.9,,35,40,31,,120,130,,25.1,30,1,1,,1,,,,,
USW00014739,"BOSTON, MA US",3/11/2019,14.54,,0,,0,,43,50,37,,260,300,,25.1,32,,,,,,,,,
